Day,Date,Vikram,Anjali,Rohan,Kavita,Mohan
Monday,01/01/2026,P,P,P,P,P
Tuesday,02/01/2026,P,P,P,A,P
Wednesday,03/01/2026,P,P,A,P,P
Thursday,04/01/2026,P,H,P,P,P
Friday,05/01/2026,A,P,P,P,P
Saturday,06/01/2026,X,X,X,X,X
Sunday,07/01/2026,X,X,X,X,X
Monday,08/01/2026,P,P,P,P,P
Tuesday,09/01/2026,P,P,P,P,A
Wednesday,10/01/2026,P,P,P,P,P
Thursday,11/01/2026,P,P,A,P,P
Friday,12/01/2026,P,P,P,P,P
Saturday,13/01/2026,X,X,X,X,X
Sunday,14/01/2026,X,X,X,X,X
Monday,15/01/2026,P,P,P,P,P
Tuesday,16/01/2026,P,P,P,P,P
Wednesday,17/01/2026,P,A,P,A,P
Thursday,18/01/2026,P,P,P,P,P
Friday,19/01/2026,P,P,P,P,P
Saturday,20/01/2026,X,X,X,X,X
Sunday,21/01/2026,X,X,X,X,X
Monday,22/01/2026,P,P,P,P,P
Tuesday,23/01/2026,N,P,P,P,P
Wednesday,24/01/2026,P,P,P,P,P
Thursday,25/01/2026,P,P,P,P,H
Friday,26/01/2026,P,P,O,P,P
Saturday,27/01/2026,X,X,X,X,X
Sunday,28/01/2026,X,X,X,X,X
Monday,29/01/2026,P,P,P,P,P
Tuesday,30/01/2026,P,P,P,P,P
Wednesday,31/01/2026,P,P,P,A,P
